t,Va,Vb,Vc
0,0,-282.843,282.843
0.0001,10.2587,-287.832,277.574
0.0002,20.5073,-292.538,272.031
0.0003,30.7356,-296.955,266.22
0.0004,40.9337,-301.079,260.146
0.0005,51.0913,-304.906,253.815
0.0006,61.1985,-308.432,247.234
0.0007,71.2453,-311.654,240.408
0.0008,81.2218,-314.568,233.346
0.0009,91.1181,-317.171,226.053
0.001,100.925,-319.462,218.537
0.0011,110.631,-321.437,210.806
0.0012,120.229,-323.095,202.866
0.0013,129.708,-324.434,194.726
0.0014,139.059,-325.453,186.394
0.0015,148.273,-326.151,177.878
0.0016,157.34,-326.527,169.187
0.0017,166.252,-326.581,160.329
0.0018,175,-326.312,151.312
0.0019,183.576,-325.722,142.146
0.002,191.97,-324.81,132.84
0.0021,200.175,-323.577,123.402
0.0022,208.182,-322.025,113.843
0.0023,215.984,-320.155,104.172
0.0024,223.572,-317.97,94.3974
0.0025,230.94,-315.47,84.53
0.0026,238.08,-312.659,74.5791
0.0027,244.985,-309.54,64.5546
0.0028,251.649,-306.115,54.4665
0.0029,258.064,-302.388,44.3245
0.003,264.224,-298.363,34.1389
0.0031,270.123,-294.043,23.9195
0.0032,275.756,-289.433,13.6765
0.0033,281.117,-284.537,3.42007
0.0034,286.201,-279.361,-6.83977
0.0035,291.002,-273.909,-17.0929
0.0036,295.515,-268.186,-27.3291
0.0037,299.737,-262.199,-37.5383
0.0038,303.664,-255.953,-47.7106
0.0039,307.29,-249.455,-57.8357
0.004,310.614,-242.71,-67.9038
0.0041,313.631,-235.726,-77.9047
0.0042,316.338,-228.509,-87.8289
0.0043,318.733,-221.067,-97.6664
0.0044,320.814,-213.406,-107.407
0.0045,322.578,-205.535,-117.043
0.0046,324.023,-197.461,-126.562
0.0047,325.149,-189.192,-135.957
0.0048,325.954,-180.737,-145.217
0.0049,326.437,-172.103,-154.334
0.005,326.599,-163.299,-163.299
0.0051,326.438,-154.335,-172.103
0.0052,325.954,-145.217,-180.737
0.0053,325.149,-135.957,-189.192
0.0054,324.023,-126.562,-197.461
0.0055,322.578,-117.043,-205.535
0.0056,320.814,-107.408,-213.406
0.0057,318.733,-97.6665,-221.067
0.0058,316.338,-87.8291,-228.509
0.0059,313.631,-77.905,-235.726
0.006,310.614,-67.9039,-242.71
0.0061,307.29,-57.8359,-249.455
0.0062,303.664,-47.7108,-255.953
0.0063,299.738,-37.5387,-262.199
0.0064,295.515,-27.3294,-268.186
0.0065,291.002,-17.0932,-273.908
0.0066,286.201,-6.84013,-279.361
0.0067,281.117,3.41963,-284.537
0.0068,275.757,13.6761,-289.433
0.0069,270.124,23.9191,-294.043
0.007,264.224,34.1384,-298.363
0.0071,258.064,44.324,-302.388
0.0072,251.649,54.466,-306.115
0.0073,244.986,64.5541,-309.54
0.00739999,238.081,74.5785,-312.659
0.00749999,230.94,84.5294,-315.47
0.00759999,223.573,94.3969,-317.969
0.00769999,215.984,104.171,-320.155
0.00779999,208.182,113.843,-322.025
0.00789999,200.175,123.402,-323.577
0.00799999,191.97,132.839,-324.809
0.00809999,183.576,142.145,-325.721
0.00819999,175.001,151.311,-326.312
0.00829999,166.253,160.328,-326.581
0.00839999,157.341,169.186,-326.527
0.00849999,148.273,177.878,-326.151
0.00859999,139.06,186.394,-325.453
0.00869999,129.709,194.726,-324.434
0.00879999,120.23,202.865,-323.095
0.00889999,110.632,210.805,-321.437
0.00899999,100.925,218.537,-319.462
0.00909999,91.1189,226.052,-317.171
0.00919999,81.2225,233.345,-314.568
0.00929999,71.2461,240.408,-311.654
0.00939999,61.1993,247.233,-308.432
0.00949999,51.0921,253.814,-304.906
0.00959999,40.9346,260.145,-301.08
0.00969999,30.7366,266.219,-296.956
0.00979999,20.5082,272.03,-292.539
0.00989999,10.2596,277.573,-287.833
0.00999999,0.000983721,282.842,-282.843
0.0101,-10.2577,287.832,-277.574
0.0102,-20.5063,292.538,-272.031
0.0103,-30.7346,296.955,-266.22
0.0104,-40.9326,301.079,-260.146
0.0105,-51.0903,304.906,-253.815
0.0106,-61.1975,308.432,-247.234
0.0107,-71.2442,311.653,-240.409
0.0108,-81.2207,314.567,-233.347
0.0109,-91.1171,317.171,-226.054
0.011,-100.923,319.461,-218.538
0.0111,-110.63,321.437,-210.807
0.0112,-120.228,323.095,-202.867
0.0113,-129.707,324.434,-194.727
0.0114,-139.058,325.453,-186.395
0.0115,-148.272,326.151,-177.879
0.0116,-157.339,326.527,-169.188
0.0117,-166.251,326.581,-160.33
0.0118,-174.999,326.312,-151.313
0.0119,-183.575,325.722,-142.147
0.012,-191.969,324.81,-132.841
0.0121,-200.174,323.577,-123.403
0.0122,-208.181,322.025,-113.844
0.0123,-215.983,320.155,-104.173
0.0124,-223.571,317.97,-94.3987
